nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,6851336393638137094,1595201065,1400000,12200,8667,22900000,18500,Trocaram a minha cama por uma piscina 😂🏊‍♀️ @nicolasgommes @hugobarcelar #humor #prank #pegadinha,https://www.tiktok.com/@enaldinho/video/6851336393638137094,2020-07-19 23:24:25,29
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,6992353137134750982,1628034083,2600000,4153,12100,45700000,27900,Você teria coragem?? 😂😂😂 @jadesales_,https://www.tiktok.com/@enaldinho/video/6992353137134750982,2021-08-03 23:41:23,40
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7474757103916305669,1740352514,1928,30,128,40100,128,Vc tem tripofobia?? 🥵🥵,https://www.tiktok.com/@enaldinho/video/7474757103916305669,2025-02-23 23:15:14,50
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7472554334140632325,1739839642,7463,121,285,148900,443,Bala ovo 😂😂😂,https://www.tiktok.com/@enaldinho/video/7472554334140632325,2025-02-18 00:47:22,64
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7472168237069896966,1739749747,5031,90,223,97100,194,Aceitam?? Kkkkkk 😂,https://www.tiktok.com/@enaldinho/video/7472168237069896966,2025-02-16 23:49:07,18
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7471084240327707959,1739497357,9241,248,190,887800,634,Conseguiram resolver esse enigma? 😂 @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7471084240327707959,2025-02-14 01:42:37,32
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7469924062198811909,1739227233,2368,88,210,60100,149,"Foi só um pesadelo, mas poderia ter acontecido.  Fiquem espertos com a saúde de vocês, a meningite meningocócica pode ser perigosa!  #parceriapaga @gsk_brasil  Material dirigido ao público em geral. Por favor, consulte o seu médico. NP-BR-GVU-BRF-240007 – Outubro/2024​  Referências:   1. BRASIL. Ministério da Saúde. Saúde de A a Z: meningite meningocócica. Disponível em: <https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/m/meningite\> Acesso em: 2. Out. 2024.​  2. Socidade Brasileira de Imunizações. Doenças. Meningite Meningocócica. Disponível em: <https://familia.sbim.org.br/doencas/meningite-meningococica> Acesso em: 2. Out. 2024.  3. WHO. Newsroom. Factsheets. Detail. Meningitis. Disponível em: <https://www.who.int/news-room/fact-sheets/detail/meningitis> Acesso em: 16. Dez. 2024",https://www.tiktok.com/@enaldinho/video/7469924062198811909,2025-02-10 22:40:33,35
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7469601283255667973,1739152082,3792,45,180,76200,231,Simplesmente um cybertruck de papelão 😂,https://www.tiktok.com/@enaldinho/video/7469601283255667973,2025-02-10 01:48:02,43
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7468474240686181638,1738889670,7767,132,303,247300,466,Tive que arrumar um disfarce 🥸😂,https://www.tiktok.com/@enaldinho/video/7468474240686181638,2025-02-07 00:54:30,46
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7467738488503340294,1738718367,12200,353,356,488000,889,Agora eu tenho uma professora de etiqueta 😂 @@lvieiralari ,https://www.tiktok.com/@enaldinho/video/7467738488503340294,2025-02-05 01:19:27,60
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7466817234204118278,1738503870,13200,469,394,262400,611,Não divido comida 👀😂 @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7466817234204118278,2025-02-02 13:44:30,42
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7464336134580096261,1737926193,5551,103,289,144400,322,Conseguiriam vencer?? 😂 @TIGS @Vini @Jéssica Souza ,https://www.tiktok.com/@enaldinho/video/7464336134580096261,2025-01-26 21:16:33,55
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7463138348450712838,1737647309,4390,504,459,127600,270,ESTÃO SABENDO DESSA NOVIDADE??? 😍 #BrawlStars  Link com mais informações está na bio.,https://www.tiktok.com/@enaldinho/video/7463138348450712838,2025-01-23 15:48:29,26
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7461288442769509637,1737216596,9070,216,405,400400,514,Batatinha frita valendo um iPhone novo 😂 @Vini @@lvieiralari @Jéssica Souza @Nicolas Gomes ,https://www.tiktok.com/@enaldinho/video/7461288442769509637,2025-01-18 16:09:56,46
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
