nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7475425574853283127,1740513600,240,2,24,7939,11,"A VERDADE SOBRE CHAPEUZINHO VERMELHO! 📖🧚‍♀️ Compartilhe Você já parou para pensar na verdade por trás da história de Chapeuzinho Vermelho? Essa história ensina que não devemos pegar atalhos e que devemos desconfiar das coisas que parecem muito boas. E se misturarmos essas histórias com o universo do Gato Galactico? Gostam da ideia? Comenta aí, eu quero saber o que vocês acham!",https://www.tiktok.com/@gatogalactico/video/7475425574853283127,2025-02-25 20:00:00,59
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7475447841037585670,1740513337,224,1,17,4953,15,O primeiro passo é sonhar e o segundo… É trabalhar muito!!! 😸 @vempragalaxia,https://www.tiktok.com/@gatogalactico/video/7475447841037585670,2025-02-25 19:55:37,52
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7475424974182911237,1740508013,60,0,6,4131,2,Comenta “Força Miau” se você já ouviu a canção “Quem Comeu o Biscoito” 💚 Muito obrigado por ouvir a nova música do Gato Galactico! 🎵🤟 @applemusic @spotifybrasil @amazonmusic @deezerbrasil @youtube_music__ #GatoGalactico #ReinoMagicoMusical #ForçaMiau,https://www.tiktok.com/@gatogalactico/video/7475424974182911237,2025-02-25 18:26:53,15
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7473957542398381367,1740166351,36900,1944,2032,528400,1883,O NOVO LIVRO DA SARA (Chapeuzinho Azul do Gato Galáctico),https://www.tiktok.com/@gatogalactico/video/7473957542398381367,2025-02-21 19:32:31,45
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7441014317295717687,1732496164,1113,30,205,75300,68,O sonho das crianças é o que mais importa! Obrigado Rio de Janeiro!,https://www.tiktok.com/@gatogalactico/video/7441014317295717687,2024-11-25 00:56:04,21
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7440677615721123128,1732417769,454,5,44,35700,27,OBRIGADO CAMPINAS! Duas sessões de Sonhos realizados 🤍🌟,https://www.tiktok.com/@gatogalactico/video/7440677615721123128,2024-11-24 03:09:29,17
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7439438389285309751,1732129238,718,28,83,51900,45,Comenta #ForçaMiau se você também canta assim! 😹 #GatoGalactico #ReinoMagicoMusical #Amizade,https://www.tiktok.com/@gatogalactico/video/7439438389285309751,2024-11-20 19:00:38,14
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7438814733270109496,1731984036,501,16,49,52800,44,✨ Galáxia Kids Fest 2024! ✨ Um espetáculo mágico com os maiores nomes do universo infantil. Obrigado a todas as famílias por fazerem parte desse sonho.,https://www.tiktok.com/@gatogalactico/video/7438814733270109496,2024-11-19 02:40:36,12
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7438814486875704631,1731983978,388,13,72,25300,24,"✨🏆✨ Gato Galactico eleito como iBest Top3 em Influenciador Infantil, um dos melhores do Brasil!",https://www.tiktok.com/@gatogalactico/video/7438814486875704631,2024-11-19 02:39:38,25
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7431650044891221254,1730315872,883,34,176,53400,76,A FESTA DE PIQUENIQUE do Gato Galactico !,https://www.tiktok.com/@gatogalactico/video/7431650044891221254,2024-10-30 19:17:52,59
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7430630370648820997,1730078462,510,6,89,22800,44,"E assim encerramos com o coração cheio a nossa campanha solidária Juntos Somos o Recomeço! 💜 Com um super show do Gato Galactico, celebramos a solidariedade que une e transforma. Obrigado a cada um que participou, contribuiu e compartilhou essa ação incrível! Juntos, vamos apoiar as instituições do Rio Grande do Sul que estão recomeçando após as enchentes. Vocês são parte dessa mudança! ✨",https://www.tiktok.com/@gatogalactico/video/7430630370648820997,2024-10-28 01:21:02,61
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7426563791116111109,1729131640,316,2,47,22000,26,O DIA DAS CRIANÇAS do Gato Galactico!!,https://www.tiktok.com/@gatogalactico/video/7426563791116111109,2024-10-17 02:20:40,189
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7425979776617188613,1728995658,1163,13,75,48100,102,🎬🎥 Gravando o filme do Gato Galactico e olha só o que aconteceu no meio das cenas!,https://www.tiktok.com/@gatogalactico/video/7425979776617188613,2024-10-15 12:34:18,36
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7425826876729347333,1728960062,410,5,29,17400,40,O dia das crianças foi inesquecível e mágico! ✨,https://www.tiktok.com/@gatogalactico/video/7425826876729347333,2024-10-15 02:41:02,48
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7425424944323955973,1728866480,265,1,20,15700,23,"Dia das Crianças no Galáxia Kids Fest! Foi um sonho mágico, o maior evento infantil do Brasil! ✨✨✨",https://www.tiktok.com/@gatogalactico/video/7425424944323955973,2024-10-14 00:41:20,38
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7423829285133094149,1728494960,437,19,78,17000,38,Gato Galactico Aprende que é errado pegar algo sem pedir!,https://www.tiktok.com/@gatogalactico/video/7423829285133094149,2024-10-09 17:29:20,58
Ronaldo Souza,6671961345795588101,False,"📺 Acampamento Intergalactico
ASSISTA NA NETFLIX",gatogalactico,True,7423052486056873221,1728314097,441,3,36,14200,40,💚❤️💛 FORÇA MIAU! TODOS PELO RS,https://www.tiktok.com/@gatogalactico/video/7423052486056873221,2024-10-07 15:14:57,44
