nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7357446102238498053,1713038916,323300,3972,1983,7500000,9700,"Se há esses sinais, certeza que ela fez! @Ivo 🤣🫶🏼 #viralvideo #fypシ #heleninhadepapai #criancasengracadas #maes #pais #paisdeprimeiraviagem #heleninha #criancas #coco ",https://www.tiktok.com/@heleninhadepapai/video/7357446102238498053,2024-04-13 20:08:36,17
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7393790667891215622,1721501045,1600000,142400,7370,9700000,83400,,https://www.tiktok.com/@heleninhadepapai/video/7393790667891215622,2024-07-20 18:44:05,17
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7262743439178075398,1690989232,461900,899,1667,7600000,16200,,https://www.tiktok.com/@heleninhadepapai/video/7262743439178075398,2023-08-02 15:13:52,76
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7472856794503712055,1739910067,44200,260,334,343200,1294,Ela não gostou muito da ideia do balé não! 😝 #ballet #balé #heleninha #fy #viral #heleninhadepapai #tio #tete  ,https://www.tiktok.com/@heleninhadepapai/video/7472856794503712055,2025-02-18 20:21:07,69
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7472464402302668037,1739818704,3319,39,79,52100,152,"Se você nunca teve um brinquedo desse, tenho uma pessima notícia pra você!😝🐟 #peixes #brinquedos #fy #video #heleninhadepapai #heleninha #tio ",https://www.tiktok.com/@heleninhadepapai/video/7472464402302668037,2025-02-17 18:58:24,60
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7472092973203852550,1739732223,94900,642,666,703100,3260,O quarto secreto ficou incrível! @Ivo 😍❤️ #quartosecreto #heleninha #fy #quarto #viral_video #heleninhadepapai #tio  @Helena e Ivo ,https://www.tiktok.com/@heleninhadepapai/video/7472092973203852550,2025-02-16 18:57:03,124
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7471368369397107974,1739563512,24800,162,135,511000,964,Atualização final do quarto secreto! @Ivo 😱😍 #quartosecreto #heleninha #fy #viral #tio #heleninhadepapai  @Helena e Ivo ,https://www.tiktok.com/@heleninhadepapai/video/7471368369397107974,2025-02-14 20:05:12,68
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7468402080089246981,1738872872,9183,83,150,135400,487,Heleninha amou o último!🤣🥰 #fy #heleninha #temufinds #viralvideos #tio #testandoprodutos #heleninhadepapai  @Helena e Ivo ,https://www.tiktok.com/@heleninhadepapai/video/7468402080089246981,2025-02-06 20:14:32,66
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7468027888646819078,1738785750,44900,540,390,794000,3249,Testando filtros com Heleninha part.2 🤣💅 #heleninha #filtros #fy #viral_video #tio #heleninhadepapai #filter  @Helena e Ivo ,https://www.tiktok.com/@heleninhadepapai/video/7468027888646819078,2025-02-05 20:02:30,62
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7467627214499089670,1738692459,14800,73,120,131000,668,Cachinhos dourados é você? 🤣 #penteados #heleninha #parentalcontrol #airdroidparentalcontrol #fy #tio #penteadoinfantil #cacheadas  @Helena e Ivo ,https://www.tiktok.com/@heleninhadepapai/video/7467627214499089670,2025-02-04 18:07:39,89
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7466907938603420933,1738524988,16500,130,125,199500,724,Titiu de gêmeos? E agora? 🤣 #heleninha #fy #gemeos #tio #charevelacao #heleninhadepapai #viral_video ,https://www.tiktok.com/@heleninhadepapai/video/7466907938603420933,2025-02-02 19:36:28,87
Helena e Ivo,7180396567814947845,False,"Acompanhe nossa rotina. 🫶🏼 @Ivo
Vídeo do quartinho secreto! 😱👇🏼",heleninhadepapai,False,7464618821475781894,1737992013,17700,115,116,198400,818,Esse penteado é muito lindo! 😻 #heleninha #fy #penteado #penteadoinfantil #tio #BlockBlast #BlockBlast2nd #BlockBlastAnniversary  @Helena e Ivo ,https://www.tiktok.com/@heleninhadepapai/video/7464618821475781894,2025-01-27 15:33:33,0
