nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7203836488549715206,1677273890,75200,531,3048,1800000,4499,"A decisão mais difícil da vida de uma criança. Eu confesso que fiquei um pouco decepcionado com a escolha, mas sempre vou apoiar! hahaha #TeamCharmander ",https://www.tiktok.com/@luccasneto/video/7203836488549715206,2023-02-24 21:24:50,32
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7476270665616657669,1740704917,3338,52,219,44800,160,Uma dica pra esses abusados 😂,https://www.tiktok.com/@luccasneto/video/7476270665616657669,2025-02-28 01:08:37,13
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7474759544300670214,1740353083,25100,327,598,248700,1169,Luccas Mãos de Tesoura,https://www.tiktok.com/@luccasneto/video/7474759544300670214,2025-02-23 23:24:43,76
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7474049122274725175,1740187676,23900,393,402,283900,779,Ela roubou meu coração 💸🫦,https://www.tiktok.com/@luccasneto/video/7474049122274725175,2025-02-22 01:27:56,22
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7473312706469104902,1740016217,344700,2380,770,2200000,11600,Coisas que os maridos são obrigados a aceitar porque são casados com gêmeas 😂,https://www.tiktok.com/@luccasneto/video/7473312706469104902,2025-02-20 01:50:17,89
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7472927686797593911,1739926571,7735,65,256,175700,356,Segue para mais dicas kkkkkkkk,https://www.tiktok.com/@luccasneto/video/7472927686797593911,2025-02-19 00:56:11,89
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7472178651665009925,1739752170,67600,938,556,633200,2162,No anúncio era tão legal 😔 custou 25 dólares ou R$ 150,https://www.tiktok.com/@luccasneto/video/7472178651665009925,2025-02-17 00:29:30,87
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7471360104902708486,1739561587,163000,888,645,2200000,5831,“Quem é a esposa pela voz?” 😂😂😂,https://www.tiktok.com/@luccasneto/video/7471360104902708486,2025-02-14 19:33:07,89
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7470694583022669111,1739406639,134600,3084,2112,1900000,5943,Ela não gosta de agarrar a bola,https://www.tiktok.com/@luccasneto/video/7470694583022669111,2025-02-13 00:30:39,17
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7469047566315900166,1739023157,52700,1232,1321,906900,2043,Hoje eu faço 33 anos e lancei essa música 8 anos atrás! Vcs tbm estão ficando velhos kkkkkkk,https://www.tiktok.com/@luccasneto/video/7469047566315900166,2025-02-08 13:59:17,27
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7468499528602111237,1738895559,92400,1328,1270,1500000,4777,Dessa vez eu gastei dinheiro com uma coisa muito útil ,https://www.tiktok.com/@luccasneto/video/7468499528602111237,2025-02-07 02:32:39,67
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7467692420323495174,1738707642,23600,348,607,509700,990,Esse velho tá forte 💪,https://www.tiktok.com/@luccasneto/video/7467692420323495174,2025-02-04 22:20:42,48
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7466995110002101509,1738545282,220100,2290,1880,3000000,7671,Apenas 150 dólares (R$ 935) e sua mulher fica grávida,https://www.tiktok.com/@luccasneto/video/7466995110002101509,2025-02-03 01:14:42,90
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7465892138778217734,1738288482,7522,139,584,1000000,424,ATENÇÃO BARUERI E REGIÃO: Luccas Neto - Uma Aventura de Futebol está fazendo o maior sucesso! Não fique de fora dessa e participe dessa experiência incrível no Shopping Tamboré. Mais informações em: www.luccasnetoaventuradefutebol.com,https://www.tiktok.com/@luccasneto/video/7465892138778217734,2025-01-31 01:54:42,58
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7465512150824406278,1738200007,779500,40100,25800,6900000,39800,Minha mulher resolveu comentar sobre vcs me tarando aqui ,https://www.tiktok.com/@luccasneto/video/7465512150824406278,2025-01-30 01:20:07,56
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7465495660486216965,1738196170,86800,1668,2176,1500000,2695,Luccas comprou uma barriga de grávida pq a Jessi tava com saudade do barrigão ,https://www.tiktok.com/@luccasneto/video/7465495660486216965,2025-01-30 00:16:10,17
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7464776091748568326,1738028631,137400,4136,3199,1900000,6454,E custou só 8 dólares (R$ 50),https://www.tiktok.com/@luccasneto/video/7464776091748568326,2025-01-28 01:43:51,83
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7464013335336471813,1737851039,611000,104200,32800,7600000,30200,Que esse vídeo não saia daqui hein! E nada de boquinha 🫦,https://www.tiktok.com/@luccasneto/video/7464013335336471813,2025-01-26 00:23:59,7
Luccas Neto,228036838693888000,False,Pai do Luke e do Anakin e fã de jiu-jítsu,luccasneto,True,7463574581169671429,1737748881,16600,1805,1685,1100000,835,"Papais e mamães super jovens de São Paulo!! Agora estamos no Shopping Tamboré - SP com “Luccas Neto: Uma Aventura de Futebol”! A tecnologia e o esporte se encontram de forma incrível, trazendo uma experiência inesquecível para toda família! ⚽🎮  Não perca essa oportunidade de viver algo único! Para mais informações, acesse o nosso site: https://www.luccasnetoaventuradefutebol.com",https://www.tiktok.com/@luccasneto/video/7463574581169671429,2025-01-24 20:01:21,58
