nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7472077312473697591,1739728576,796,105,55,36900,47,,https://www.tiktok.com/@mariaclaradivertidamc/video/7472077312473697591,2025-02-16 17:56:16,21
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7475499315218140471,1740525323,2282,143,106,42700,86,Tudo que vou levar na minha mala!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7475499315218140471,2025-02-25 23:15:23,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7475026476698471686,1740415234,54500,28300,790,409100,2713,Eu tenho nome!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7475026476698471686,2025-02-24 16:40:34,60
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7474422939434093829,1740274708,5184,481,176,171200,349,Ganhei um carro!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7474422939434093829,2025-02-23 01:38:28,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7473653272658627895,1740095508,3185,148,156,82300,143,Avaliando o meu abadá do nosso bloquinho de carnaval!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7473653272658627895,2025-02-20 23:51:48,60
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7473270183730105605,1740006313,12500,510,267,656100,1035,Comida de passarinho!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7473270183730105605,2025-02-19 23:05:13,59
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7473262277924244741,1740004474,8409,557,324,276600,366,"Em meio a tanto ódio e falta de respeito, Deus me lembra que ainda há esperança. Obrigada Porto Alegre por tanto amor 💖",https://www.tiktok.com/@mariaclaradivertidamc/video/7473262277924244741,2025-02-19 22:34:34,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7472943174307171590,1739930178,79800,60400,184,897300,3346,Quantos Stitchs vcs viram? Sigma boy!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7472943174307171590,2025-02-19 01:56:18,32
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7472472871286230278,1739820677,1367,53,41,42200,96,Comprinhas aleatórias da Shein parte 3,https://www.tiktok.com/@mariaclaradivertidamc/video/7472472871286230278,2025-02-17 19:31:17,94
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7472181356408098054,1739752806,1211,45,64,40200,74,Comprinhas aleatórias da Shein parte 2 ,https://www.tiktok.com/@mariaclaradivertidamc/video/7472181356408098054,2025-02-17 00:40:06,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7472051611410484485,1739722592,1536,156,64,52700,72,Quem cuida de mim não dorme!,https://www.tiktok.com/@mariaclaradivertidamc/video/7472051611410484485,2025-02-16 16:16:32,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7471736800201936133,1739649294,1604,81,125,48800,92,Muito medo galera!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7471736800201936133,2025-02-15 19:54:54,77
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7471717011790302470,1739644687,3166,140,137,88500,173,Que medo!!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7471717011790302470,2025-02-15 18:38:07,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7471709312260394245,1739642896,9467,501,357,139300,491,Minhas comprinhas aleatórias da Shein!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7471709312260394245,2025-02-15 18:08:16,131
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7471366227521211653,1739563014,41700,3508,755,676800,1638,Só observo!!! 😴😴,https://www.tiktok.com/@mariaclaradivertidamc/video/7471366227521211653,2025-02-14 19:56:54,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7471308321971129655,1739549533,1505,148,118,45000,85,Agredindo ou fazendo moda??,https://www.tiktok.com/@mariaclaradivertidamc/video/7471308321971129655,2025-02-14 16:12:13,91
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7470927530892053766,1739460873,4873,259,203,171000,273,Tudo o que levo na minha mochila no avião!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7470927530892053766,2025-02-13 15:34:33,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7470642357239582007,1739394476,1004,59,88,53200,59,Onde vcs querem show??,https://www.tiktok.com/@mariaclaradivertidamc/video/7470642357239582007,2025-02-12 21:07:56,30
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7470276953392663863,1739309399,1470,40,85,49400,98,Festa Julia Pimentel 16.  abrindo as lembrancinhas parte 4,https://www.tiktok.com/@mariaclaradivertidamc/video/7470276953392663863,2025-02-11 21:29:59,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7469931213243944197,1739228902,1074,108,98,45900,84,Espero vcs heim!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7469931213243944197,2025-02-10 23:08:22,0
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7469441403488079159,1739114854,12500,1275,568,533400,700,Corrida de pocotó!!! Pocotó MC Divertida 🐎🐴,https://www.tiktok.com/@mariaclaradivertidamc/video/7469441403488079159,2025-02-09 15:27:34,61
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7469071364721347895,1739028701,20000,6028,628,823500,798,Modo divertidamente é o nome do HIT!!!,https://www.tiktok.com/@mariaclaradivertidamc/video/7469071364721347895,2025-02-08 15:31:41,29
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7468812516454386949,1738968437,2266,653,135,125800,180,Carvão ou Chantilly?,https://www.tiktok.com/@mariaclaradivertidamc/video/7468812516454386949,2025-02-07 22:47:17,76
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7468372388128935174,1738865956,2287,75,99,74000,114,Festa Júlia Pimentel 16. Abrindo as lembrancinhas parte 3 ,https://www.tiktok.com/@mariaclaradivertidamc/video/7468372388128935174,2025-02-06 18:19:16,66
Maria Clara,7359971309722420229,False,Shows - Turnê 2025 👇,mariaclaradivertidamc,False,7467709947430636806,1738711721,2295,65,132,72400,144,Festa Júlia Pimentel 16. abrindo as lembrancinhas parte dois.,https://www.tiktok.com/@mariaclaradivertidamc/video/7467709947430636806,2025-02-04 23:28:41,85
