nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7473984808566181175,1740172700,673,5,42,15800,45,Vcs pediram e eu fiz! #mariaclaraejp #arrumesecomigo #fyp ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7473984808566181175,2025-02-21 21:18:20,52
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7467959813763288326,1738769895,1447,12,104,67200,99,A neve trazendo a minha Elsa interior ❄️😁 #fyp #mariaclaraejp #foruyou #froze ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7467959813763288326,2025-02-05 15:38:15,7
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7466848702259334405,1738511197,1193,75,124,44100,110,Um presente especial 🤣🤣🤣 #mariaclaraejp #fyp #foryour #jp #engraçado ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7466848702259334405,2025-02-02 15:46:37,28
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7466565996497669382,1738445377,532,11,92,30400,49,Devo ligar? #mariaclaraejp #fyp #foruyou #dublagem ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7466565996497669382,2025-02-01 21:29:37,4
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7466448415333879045,1738417997,1182,10,94,47800,97,O Resultado…? #mariaclaraejp #fyp #fy ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7466448415333879045,2025-02-01 13:53:17,49
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7465530427881704709,1738204264,563,7,65,33600,49,Em breve vcs verão o resultado🤣🤣🤣 ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7465530427881704709,2025-01-30 02:31:04,23
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7465308914918198534,1738152689,6926,75,81,241700,805,Hoje foi dia da Maria Clara cuidar do cabelo das amigas ✂️🎀 #mariaclaraejp #fyp #foruyou #foryoupage❤️❤️ #amigas ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7465308914918198534,2025-01-29 12:11:29,27
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7465153155274149126,1738116424,5230,158,368,228300,682,"Você já desmontou a sua árvore de Natal? Hoje vamos desmontar a nossa, mas antes aproveitei para postar essas fotos e a última foi a melhor 😂🎄✨ #mariaclaraejp #fyp #foruyou ",https://www.tiktok.com/@mariaclaraejp.oficial/video/7465153155274149126,2025-01-29 02:07:04,0
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7464329640954449158,1737924683,1109,14,116,50200,90,Quem aí teria coragem de fazer um passeio de balão furado? Foi exatamente isso que aconteceu. Tem o vídeo completo no canal #mariaclaraejp #fyp #foruyou #foryoupage❤️❤️ ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7464329640954449158,2025-01-26 20:51:23,36
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7463634855927041285,1737762913,79900,690,480,2000000,3935,Quem aí não resiste a uma soneca no carro? #mariaclaraejp #fyp #foruyou #foryoupage❤️❤️ @João Marcello ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7463634855927041285,2025-01-24 23:55:13,32
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7462886816543182085,1737637200,928,7,84,53800,90,Já saiu o vídeo completo no canal Família Maria Clara e JP. Foi uma viagem incrível e gravamos tudinho pra vocês que são inscritos no nosso canal e já fazem parte da nossa família ❤️ #mariaclaraejp #arizona #antelope #viagem,https://www.tiktok.com/@mariaclaraejp.oficial/video/7462886816543182085,2025-01-23 13:00:00,33
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7462515236973661445,1737502233,987,59,143,55800,111,Gravei e não postei 🪱🤣 #mariaclaraejp #fyp #foryour ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7462515236973661445,2025-01-21 23:30:33,8
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7460187059572002054,1736960162,1152,15,113,69500,99,O dia mais legal da viagem #mariaclaraejp #fyp #foruyou #foryoupage❤️❤️ ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7460187059572002054,2025-01-15 16:56:02,79
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7459838390733688069,1736878982,1094,25,77,58000,111,Quem aí já escorregou de skibunda? #mariaclaraejp #furada #jp #fyp #foryour #foryoupage❤️❤️ ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7459838390733688069,2025-01-14 18:23:02,45
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7459434643885018374,1736784978,664,16,91,50000,50,Furada ou não? #mariaclaraejp #furada #jp #fyp #foryour #foryoupage❤️❤️ ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7459434643885018374,2025-01-13 16:16:18,102
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7459068485893688582,1736699723,8622,85,204,646100,643,Reação do JP assistindo o vídeo dele dormindo 🤣🤣🤣 #mariaclaraejp #fyp #foruyou #foryoupage❤️❤️ #engraçado ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7459068485893688582,2025-01-12 16:35:23,20
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7459063635659328774,1736698595,798,32,108,64800,98,Vcs nem imaginam a bagunça de leite que ficou depois desse video 🫣😅 #mariaclaraejp #trendy #fyp #foryour #foryoupage❤️❤️ #comedia #jp ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7459063635659328774,2025-01-12 16:16:35,9
Maria Clara e JP,143941188268552192,False,"O dia a dia de uma Família YouTuber
Reativamos o nosso perfil em 30/11/2024",mariaclaraejp.oficial,False,7456854138727451909,1736184156,8403,315,311,703600,749,Rotina de viagem 😴😂 #mariaclaraejp #viagem #rotina #trendy #fyp #foryour #foryoupage❤️❤️ ,https://www.tiktok.com/@mariaclaraejp.oficial/video/7456854138727451909,2025-01-06 17:22:36,8
