nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7227653321463532805,1682819178,23700,703,1950,559400,2712,Minha apresentação no Programa Raul Gil! Cantei a música da @giulia be que eu amooo! Foi muito emocionante cantar pela primeira vez em um programa de tv! Quem assistiu? 💖💜💛 #canaldabelinha #sbt #programaraulgil ,https://www.tiktok.com/@oficialcanaldabelinha/video/7227653321463532805,2023-04-30 01:46:18,172
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7472877739041836343,1739914941,3883,51,360,94100,448,Trollamos o Vinibug #canaldabelinha #palmeiras ,https://www.tiktok.com/@oficialcanaldabelinha/video/7472877739041836343,2025-02-18 21:42:21,70
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7471783177317551415,1739660093,1456,17,78,21100,108,Pra onde será que estamos indo? ,https://www.tiktok.com/@oficialcanaldabelinha/video/7471783177317551415,2025-02-15 22:54:53,15
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7471019302536219910,1739482239,3511,61,166,116900,305,Bastidores do novo clipe da Belinha #canaldabelinha #musicanova ,https://www.tiktok.com/@oficialcanaldabelinha/video/7471019302536219910,2025-02-13 21:30:39,65
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7470682509852839174,1739403824,2302,34,210,61300,201,Spoiler dos nossos looks no novo clipe da Belinha! Vocês acham que o clipe é sobre o que?,https://www.tiktok.com/@oficialcanaldabelinha/video/7470682509852839174,2025-02-12 23:43:44,17
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7469922441712700678,1739226861,4639,74,156,121600,363,Jéssica ficou com ciúmes da amizade da Belinha e da Marcela? ,https://www.tiktok.com/@oficialcanaldabelinha/video/7469922441712700678,2025-02-10 22:34:21,10
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7469815493772283141,1739201955,15300,253,14200,495000,1278,Quem é mais alta de nós duas? ,https://www.tiktok.com/@oficialcanaldabelinha/video/7469815493772283141,2025-02-10 15:39:15,9
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7469593845093780741,1739150350,5125,68,902,126800,457,Eu sou de Recife e o Estevão de Brasilia! E você? ,https://www.tiktok.com/@oficialcanaldabelinha/video/7469593845093780741,2025-02-10 01:19:10,25
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7468052982278425862,1738791593,6709,231,333,342500,829,Transformamos noss a casinha na casinha de boiadeira inspirada na Ana Castela! #canaldabelinha #belinha #anacastela ,https://www.tiktok.com/@oficialcanaldabelinha/video/7468052982278425862,2025-02-05 21:39:53,90
Canal da Belinha ❤️,6988862884261020678,False,"Conta oficial do Canal da Belinha! Administrado por @luakrs
INGRESSOS SHOWS:",oficialcanaldabelinha,False,7468009504559549702,1738781465,6904,227,856,99100,1541,Fui barrada no meu próprio Show! #canaldabelinha ,https://www.tiktok.com/@oficialcanaldabelinha/video/7468009504559549702,2025-02-05 18:51:05,52
