nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7476268064737086726,1740704310,374,10,29,12900,41,NOVO CLIPE - LOVE COM VOCÊ !! 28/02/25 18:00 no YouTube!! #vinibug #canaldabelinha @lua@Canal da Belinha ❤️ ,https://www.tiktok.com/@vinibugoficial/video/7476268064737086726,2025-02-28 00:58:30,26
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7475520764192492805,1740530316,421,3,23,7470,43,LANÇAMENTO DO NOSSO CLIPE!! “Love com você” @Canal da Belinha ❤️ @Lua 🌙 ,https://www.tiktok.com/@vinibugoficial/video/7475520764192492805,2025-02-26 00:38:36,35
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7475519090967219511,1740529928,371,5,30,10100,40,Encontrei esse cachorrinho na rua!! O que faço? #cachorro #viral #belinha ,https://www.tiktok.com/@vinibugoficial/video/7475519090967219511,2025-02-26 00:32:08,60
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7472513559587589382,1739830149,756,20,25,47100,108,Melhor mágica 😂😂,https://www.tiktok.com/@vinibugoficial/video/7472513559587589382,2025-02-17 22:09:09,20
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7472041526277705015,1739720245,575,10,28,15400,64,MÁGICA DA BELINHA KKKK @Canal da Belinha ❤️ ,https://www.tiktok.com/@vinibugoficial/video/7472041526277705015,2025-02-16 15:37:25,19
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7470284814243859767,1739311228,1807,31,66,72500,164,ANIVERSÁRIO DA MANU PINA!! @irmas.pina ,https://www.tiktok.com/@vinibugoficial/video/7470284814243859767,2025-02-11 22:00:28,67
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7469895104979799301,1739220491,19000,441,659,486900,3503,FOMOS NO CAMAROTE DO BLOCO DOS ROSA!! #emillyvick #leozin #void #robson #katlenof #osrosa,https://www.tiktok.com/@vinibugoficial/video/7469895104979799301,2025-02-10 20:48:11,114
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7467340748480892165,1738625761,12100,2963,495,912000,1240,Passa assim aí também? Kkkk,https://www.tiktok.com/@vinibugoficial/video/7467340748480892165,2025-02-03 23:36:01,14
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7466962519123430662,1738537700,1077,18,33,33600,159,NOVO SABOR DE PICOLÉ DESBLOQUEADO 😂😂,https://www.tiktok.com/@vinibugoficial/video/7466962519123430662,2025-02-02 23:08:20,30
ViniBug,6823881218501673989,False,"Segue também lá no Instagram : @vinibugoficial
E no YouTube: VINIBUG",vinibugoficial,False,7466482122556034309,1738425845,430,9,26,15100,38,😡😡😡😡,https://www.tiktok.com/@vinibugoficial/video/7466482122556034309,2025-02-01 16:04:05,13
